method_name,mode,docs_used,prompt_tokens,completion_tokens,total_tokens,token_reduction_vs_fixed_10,token_source,generation_time_ms,fallback_rate,first_pass_tokens,fallback_tokens,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10
Fixed Small Context,fixed_3_full,3.0,1150.135,74.385,1224.52,0.676873,provider,2370.795,0.0,0.0,0.0,0.252087,0.829984,0.547019,0.634527,0.635
Fixed Medium Context,fixed_5_full,5.0,1875.665,75.12,1950.785,0.485226,provider,2317.235,0.0,0.0,0.0,0.251716,0.835277,0.544674,0.663181,0.64875
Fixed Full Context,fixed_10_full,10.0,3714.06,75.535,3789.595,0.0,provider,2554.84,0.0,0.0,0.0,0.247615,0.828207,0.549076,0.686115,0.657468
Adaptive-k,adaptive_k_full,1.98,813.83,71.705,885.535,0.766325,provider,2207.09,0.0,0.0,0.0,0.264054,0.832711,0.549601,0.617563,0.619583
Safe Adaptive Context,answer_aware_fallback,3.085,849.84,81.195,931.035,0.754318,provider,2463.325,0.045,827.3,103.735,0.248906,0.821381,0.550562,0.636681,0.63625
TACER,task_aware_coverage_ultra,2.845,603.19,73.975,677.165,0.821309,provider,2250.895,0.0,677.165,0.0,0.254747,0.835102,0.554197,0.642152,0.639583
